routine_schema,routine_name,grantee,privilege_type,is_grantable
public,abilitazione_modifica_imposta,authenticated,EXECUTE,NO
public,abilitazione_modifica_imposta,service_role,EXECUTE,NO
public,anagrafica_e_attiva,authenticated,EXECUTE,NO
public,anno_accademico_attivo,authenticated,EXECUTE,NO
public,anno_accademico_attivo,service_role,EXECUTE,NO
public,anno_accademico_corrente,authenticated,EXECUTE,NO
public,anno_accademico_corrente,service_role,EXECUTE,NO
public,anno_accademico_gestione_insegnamenti,authenticated,EXECUTE,NO
public,anno_accademico_gestione_insegnamenti,service_role,EXECUTE,NO
public,anno_accademico_preparazione,authenticated,EXECUTE,NO
public,anno_accademico_preparazione,service_role,EXECUTE,NO
public,app_backoffice_admin,authenticated,EXECUTE,NO
public,app_backoffice_admin,service_role,EXECUTE,NO
public,app_database_schema,authenticated,EXECUTE,NO
public,app_owner,authenticated,EXECUTE,NO
public,app_owner,service_role,EXECUTE,NO
public,has_role,authenticated,EXECUTE,NO
public,imposta_anno_accademico_corrente,authenticated,EXECUTE,NO
public,imposta_anno_accademico_corrente,authenticated,EXECUTE,NO
public,imposta_anno_accademico_corrente,service_role,EXECUTE,NO
public,imposta_anno_accademico_corrente,service_role,EXECUTE,NO
public,imposta_stato_anno_accademico,authenticated,EXECUTE,NO
public,imposta_stato_anno_accademico,service_role,EXECUTE,NO
public,insegnamenti_miei,authenticated,EXECUTE,NO
public,insegnamenti_miei,service_role,EXECUTE,NO
public,insegnamento_crea_per_anno,authenticated,EXECUTE,NO
public,insegnamento_crea_per_anno,service_role,EXECUTE,NO
public,insegnamento_modifica_autorizzata,authenticated,EXECUTE,NO
public,insegnamento_modifica_autorizzata,service_role,EXECUTE,NO
public,insegnamento_seleziona_per_anno,authenticated,EXECUTE,NO
public,insegnamento_seleziona_per_anno,service_role,EXECUTE,NO
public,insegnamento_stato_annuale,authenticated,EXECUTE,NO
public,insegnamento_stato_annuale,service_role,EXECUTE,NO
public,is_docente_del_mentoraggio,authenticated,EXECUTE,NO
public,is_mentore_assegnato,authenticated,EXECUTE,NO
public,is_mentore_di_insegnamento,authenticated,EXECUTE,NO
public,mentoraggi_del_mentee,authenticated,EXECUTE,NO
public,mentoraggi_del_mentore,authenticated,EXECUTE,NO
public,mentoraggio_aggiorna_backoffice,authenticated,EXECUTE,NO
public,mentoraggio_aggiorna_mentee,authenticated,EXECUTE,NO
public,mentoraggio_aggiorna_mentore,authenticated,EXECUTE,NO
public,mentoraggio_anno_corrente,authenticated,EXECUTE,NO
public,mentoraggio_anno_corrente,service_role,EXECUTE,NO
public,mentoraggio_backoffice,authenticated,EXECUTE,NO
public,mentoraggio_backoffice,service_role,EXECUTE,NO
public,mentoraggio_scheda_sintesi_imposta,authenticated,EXECUTE,NO
public,mentoraggio_utente_associato,authenticated,EXECUTE,NO
public,mentoraggio_utente_associato,service_role,EXECUTE,NO
public,mentoraggio_utente_mentee,authenticated,EXECUTE,NO
public,mentoraggio_utente_mentee,service_role,EXECUTE,NO
public,notifiche_amministratore,authenticated,EXECUTE,NO
public,notifiche_anno_corrente,authenticated,EXECUTE,NO
public,notifiche_anno_corrente,service_role,EXECUTE,NO
public,notifiche_condizione_relazionale_ok,service_role,EXECUTE,NO
public,notifiche_condizioni_regola_ok,service_role,EXECUTE,NO
public,notifiche_conta_destinatari,authenticated,EXECUTE,NO
public,notifiche_crea_messaggio_da_regola,service_role,EXECUTE,NO
public,notifiche_dettaglio_destinatari,authenticated,EXECUTE,NO
public,notifiche_disattiva_dispositivo,authenticated,EXECUTE,NO
public,notifiche_disattiva_dispositivo,service_role,EXECUTE,NO
