table_schema,table_name,grantee,privilege_type,is_grantable
public,abilitazioni_modifica,anon,REFERENCES,NO
public,abilitazioni_modifica,anon,TRIGGER,NO
public,abilitazioni_modifica,anon,TRUNCATE,NO
public,abilitazioni_modifica,authenticated,REFERENCES,NO
public,abilitazioni_modifica,authenticated,SELECT,NO
public,abilitazioni_modifica,authenticated,TRIGGER,NO
public,abilitazioni_modifica,authenticated,TRUNCATE,NO
public,abilitazioni_modifica,authenticated,UPDATE,NO
public,abilitazioni_modifica,service_role,DELETE,NO
public,abilitazioni_modifica,service_role,INSERT,NO
public,abilitazioni_modifica,service_role,REFERENCES,NO
public,abilitazioni_modifica,service_role,SELECT,NO
public,abilitazioni_modifica,service_role,TRIGGER,NO
public,abilitazioni_modifica,service_role,TRUNCATE,NO
public,abilitazioni_modifica,service_role,UPDATE,NO
public,anagrafica,anon,REFERENCES,NO
public,anagrafica,anon,TRIGGER,NO
public,anagrafica,anon,TRUNCATE,NO
public,anagrafica,authenticated,INSERT,NO
public,anagrafica,authenticated,REFERENCES,NO
public,anagrafica,authenticated,SELECT,NO
public,anagrafica,authenticated,TRIGGER,NO
public,anagrafica,authenticated,TRUNCATE,NO
public,anagrafica,authenticated,UPDATE,NO
public,anagrafica,service_role,DELETE,NO
public,anagrafica,service_role,INSERT,NO
public,anagrafica,service_role,REFERENCES,NO
public,anagrafica,service_role,SELECT,NO
public,anagrafica,service_role,TRIGGER,NO
public,anagrafica,service_role,TRUNCATE,NO
public,anagrafica,service_role,UPDATE,NO
public,anagrafica_riservata,anon,REFERENCES,NO
public,anagrafica_riservata,anon,TRIGGER,NO
public,anagrafica_riservata,anon,TRUNCATE,NO
public,anagrafica_riservata,authenticated,INSERT,NO
public,anagrafica_riservata,authenticated,REFERENCES,NO
public,anagrafica_riservata,authenticated,SELECT,NO
public,anagrafica_riservata,authenticated,TRIGGER,NO
public,anagrafica_riservata,authenticated,TRUNCATE,NO
public,anagrafica_riservata,authenticated,UPDATE,NO
public,anagrafica_riservata,service_role,DELETE,NO
public,anagrafica_riservata,service_role,INSERT,NO
public,anagrafica_riservata,service_role,REFERENCES,NO
public,anagrafica_riservata,service_role,SELECT,NO
public,anagrafica_riservata,service_role,TRIGGER,NO
public,anagrafica_riservata,service_role,TRUNCATE,NO
public,anagrafica_riservata,service_role,UPDATE,NO
public,anni_accademici,anon,REFERENCES,NO
public,anni_accademici,anon,TRIGGER,NO
public,anni_accademici,anon,TRUNCATE,NO
public,anni_accademici,authenticated,REFERENCES,NO
public,anni_accademici,authenticated,SELECT,NO
public,anni_accademici,authenticated,TRIGGER,NO
public,anni_accademici,authenticated,TRUNCATE,NO
public,anni_accademici,service_role,REFERENCES,NO
public,anni_accademici,service_role,SELECT,NO
public,anni_accademici,service_role,TRIGGER,NO
public,anni_accademici,service_role,TRUNCATE,NO
public,eventi,anon,REFERENCES,NO
public,eventi,anon,TRIGGER,NO
public,eventi,anon,TRUNCATE,NO
public,eventi,authenticated,DELETE,NO
public,eventi,authenticated,INSERT,NO
public,eventi,authenticated,REFERENCES,NO
public,eventi,authenticated,SELECT,NO
public,eventi,authenticated,TRIGGER,NO
public,eventi,authenticated,TRUNCATE,NO
public,eventi,authenticated,UPDATE,NO
public,eventi,service_role,REFERENCES,NO
public,eventi,service_role,TRIGGER,NO
public,eventi,service_role,TRUNCATE,NO
public,house_of_mentore,anon,REFERENCES,NO
public,house_of_mentore,anon,TRIGGER,NO
public,house_of_mentore,anon,TRUNCATE,NO
public,house_of_mentore,authenticated,DELETE,NO
public,house_of_mentore,authenticated,INSERT,NO
public,house_of_mentore,authenticated,REFERENCES,NO
public,house_of_mentore,authenticated,SELECT,NO
public,house_of_mentore,authenticated,TRIGGER,NO
public,house_of_mentore,authenticated,TRUNCATE,NO
public,house_of_mentore,authenticated,UPDATE,NO
public,house_of_mentore,service_role,REFERENCES,NO
public,house_of_mentore,service_role,TRIGGER,NO
public,house_of_mentore,service_role,TRUNCATE,NO
public,house_of_mentore_opzioni,anon,REFERENCES,NO
