schemaname,tablename,indexname,indexdef
public,abilitazioni_modifica,abilitazioni_modifica_pkey,"CREATE UNIQUE INDEX abilitazioni_modifica_pkey ON public.abilitazioni_modifica USING btree (user_id, ambito, anno_accademico)"
public,anagrafica,anagrafica_email_unipa_unique,CREATE UNIQUE INDEX anagrafica_email_unipa_unique ON public.anagrafica USING btree (lower((email_unipa)::text))
public,anagrafica,anagrafica_email_unipa_unique_ci,CREATE UNIQUE INDEX anagrafica_email_unipa_unique_ci ON public.anagrafica USING btree (lower(TRIM(BOTH FROM email_unipa))) WHERE ((email_unipa IS NOT NULL) AND (TRIM(BOTH FROM email_unipa) <> ''::text))
public,anagrafica,anagrafica_pkey,CREATE UNIQUE INDEX anagrafica_pkey ON public.anagrafica USING btree (user_id)
public,anagrafica_riservata,anagrafica_riservata_attivo_idx,CREATE INDEX anagrafica_riservata_attivo_idx ON public.anagrafica_riservata USING btree (attivo)
public,anagrafica_riservata,anagrafica_riservata_notifiche_attivo_idx,"CREATE INDEX anagrafica_riservata_notifiche_attivo_idx ON public.anagrafica_riservata USING btree (user_id, attivo)"
public,anagrafica_riservata,anagrafica_riservata_pkey,CREATE UNIQUE INDEX anagrafica_riservata_pkey ON public.anagrafica_riservata USING btree (user_id)
public,anagrafica_riservata,anagrafica_riservata_user_attivo_idx,"CREATE INDEX anagrafica_riservata_user_attivo_idx ON public.anagrafica_riservata USING btree (user_id, attivo)"
public,anni_accademici,anni_accademici_pkey,CREATE UNIQUE INDEX anni_accademici_pkey ON public.anni_accademici USING btree (codice)
public,anni_accademici,anni_accademici_unica_preparazione,CREATE UNIQUE INDEX anni_accademici_unica_preparazione ON public.anni_accademici USING btree (stato) WHERE (stato = 'preparazione'::text)
public,anni_accademici,anni_accademici_unico_attivo,CREATE UNIQUE INDEX anni_accademici_unico_attivo ON public.anni_accademici USING btree (stato) WHERE (stato = 'attivo'::text)
public,anni_accademici,un_solo_anno_accademico_corrente,CREATE UNIQUE INDEX un_solo_anno_accademico_corrente ON public.anni_accademici USING btree (corrente) WHERE (corrente = true)
public,eventi,eventi_pkey,CREATE UNIQUE INDEX eventi_pkey ON public.eventi USING btree (id)
public,house_of_mentore,house_of_mentore_anno_idx,CREATE INDEX house_of_mentore_anno_idx ON public.house_of_mentore USING btree (anno_accademico)
public,house_of_mentore,house_of_mentore_data_idx,CREATE INDEX house_of_mentore_data_idx ON public.house_of_mentore USING btree (data_evento)
public,house_of_mentore,house_of_mentore_pkey,CREATE UNIQUE INDEX house_of_mentore_pkey ON public.house_of_mentore USING btree (id)
public,house_of_mentore_opzioni,house_of_mentore_opzioni_id_evento_unique,"CREATE UNIQUE INDEX house_of_mentore_opzioni_id_evento_unique ON public.house_of_mentore_opzioni USING btree (id, evento_id)"
public,house_of_mentore_opzioni,house_of_mentore_opzioni_ordine_idx,"CREATE INDEX house_of_mentore_opzioni_ordine_idx ON public.house_of_mentore_opzioni USING btree (evento_id, ordine_visualizzazione)"
public,house_of_mentore_opzioni,house_of_mentore_opzioni_pkey,CREATE UNIQUE INDEX house_of_mentore_opzioni_pkey ON public.house_of_mentore_opzioni USING btree (id)
public,import_insegnamenti,import_insegnamenti_pkey,CREATE UNIQUE INDEX import_insegnamenti_pkey ON public.import_insegnamenti USING btree (id)
public,import_partecipanti,import_partecipanti_pkey,CREATE UNIQUE INDEX import_partecipanti_pkey ON public.import_partecipanti USING btree (id)
public,insegnamenti,insegnamenti_docente_idx,CREATE INDEX insegnamenti_docente_idx ON public.insegnamenti USING btree (docente_id)
public,insegnamenti,insegnamenti_pkey,CREATE UNIQUE INDEX insegnamenti_pkey ON public.insegnamenti USING btree (id)
public,mentoraggi,mentoraggi_anno_accademico_idx,CREATE INDEX mentoraggi_anno_accademico_idx ON public.mentoraggi USING btree (anno_accademico)
public,mentoraggi,mentoraggi_anno_idx,CREATE INDEX mentoraggi_anno_idx ON public.mentoraggi USING btree (anno_accademico)
public,mentoraggi,mentoraggi_insegnamento_anno_unique,"CREATE UNIQUE INDEX mentoraggi_insegnamento_anno_unique ON public.mentoraggi USING btree (insegnamento_id, anno_accademico) WHERE (anno_accademico IS NOT NULL)"
public,mentoraggi,mentoraggi_insegnamento_idx,CREATE INDEX mentoraggi_insegnamento_idx ON public.mentoraggi USING btree (insegnamento_id)
public,mentoraggi,mentoraggi_pkey,CREATE UNIQUE INDEX mentoraggi_pkey ON public.mentoraggi USING btree (id)
public,mentoraggio_mentori,mentoraggio_mentori_mentoraggio_idx,CREATE INDEX mentoraggio_mentori_mentoraggio_idx ON public.mentoraggio_mentori USING btree (mentoraggio_id)
public,mentoraggio_mentori,mentoraggio_mentori_mentore_idx,CREATE INDEX mentoraggio_mentori_mentore_idx ON public.mentoraggio_mentori USING btree (mentore_id)
public,mentoraggio_mentori,mentoraggio_mentori_pkey,"CREATE UNIQUE INDEX mentoraggio_mentori_pkey ON public.mentoraggio_mentori USING btree (mentoraggio_id, mentore_id, tipo)"
