schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,abilitazioni_modifica,Owner and organizer update authorizations,PERMISSIVE,{authenticated},UPDATE,"has_role(ARRAY['owner'::app_role, 'organizer'::app_role])","has_role(ARRAY['owner'::app_role, 'organizer'::app_role])"
public,abilitazioni_modifica,Users read own authorizations,PERMISSIVE,{authenticated},SELECT,"((user_id = ( SELECT auth.uid() AS uid)) OR has_role(ARRAY['owner'::app_role, 'organizer'::app_role]))",null
public,abilitazioni_modifica,abilitazioni_modifica_backoffice_select,PERMISSIVE,{authenticated},SELECT,app_backoffice_admin(),null
public,anagrafica,Owner and organizer create anagrafica,PERMISSIVE,{authenticated},INSERT,null,"has_role(ARRAY['owner'::app_role, 'organizer'::app_role])"
public,anagrafica,Owner and organizer update all anagrafica,PERMISSIVE,{authenticated},UPDATE,"has_role(ARRAY['owner'::app_role, 'organizer'::app_role])","has_role(ARRAY['owner'::app_role, 'organizer'::app_role])"
public,anagrafica,Read active anagrafica or manage all,PERMISSIVE,{authenticated},SELECT,"(anagrafica_e_attiva(user_id) OR has_role(ARRAY['owner'::app_role, 'organizer'::app_role]))",null
public,anagrafica,Users update own profile when authorized,PERMISSIVE,{authenticated},UPDATE,((user_id = ( SELECT auth.uid() AS uid)) AND puo_modificare_corrente('anagrafica'::ambito_modifica)),((user_id = ( SELECT auth.uid() AS uid)) AND puo_modificare_corrente('anagrafica'::ambito_modifica))
public,anagrafica,anagrafica_backoffice_insert,PERMISSIVE,{authenticated},INSERT,null,app_backoffice_admin()
public,anagrafica,anagrafica_backoffice_select,PERMISSIVE,{authenticated},SELECT,app_backoffice_admin(),null
public,anagrafica,anagrafica_backoffice_update,PERMISSIVE,{authenticated},UPDATE,app_backoffice_admin(),app_backoffice_admin()
public,anagrafica_riservata,Owner and organizer insert reserved data,PERMISSIVE,{authenticated},INSERT,null,"has_role(ARRAY['owner'::app_role, 'organizer'::app_role])"
public,anagrafica_riservata,Owner and organizer read reserved data,PERMISSIVE,{authenticated},SELECT,"has_role(ARRAY['owner'::app_role, 'organizer'::app_role])",null
public,anagrafica_riservata,Owner and organizer update reserved data,PERMISSIVE,{authenticated},UPDATE,"has_role(ARRAY['owner'::app_role, 'organizer'::app_role])","has_role(ARRAY['owner'::app_role, 'organizer'::app_role])"
public,anagrafica_riservata,anagrafica_riservata_backoffice_insert,PERMISSIVE,{authenticated},INSERT,null,app_backoffice_admin()
public,anagrafica_riservata,anagrafica_riservata_backoffice_select,PERMISSIVE,{authenticated},SELECT,app_backoffice_admin(),null
public,anagrafica_riservata,anagrafica_riservata_backoffice_update,PERMISSIVE,{authenticated},UPDATE,app_backoffice_admin(),app_backoffice_admin()
public,anni_accademici,Authenticated users read academic years,PERMISSIVE,{authenticated},SELECT,true,null
public,anni_accademici,Owner manages academic years,PERMISSIVE,{authenticated},ALL,has_role(ARRAY['owner'::app_role]),has_role(ARRAY['owner'::app_role])
public,anni_accademici,authenticated can read anni_accademici,PERMISSIVE,{authenticated},SELECT,true,null
public,eventi,Authenticated users read events,PERMISSIVE,{authenticated},SELECT,true,null
public,eventi,Owner and organizer manage events,PERMISSIVE,{authenticated},ALL,"has_role(ARRAY['owner'::app_role, 'organizer'::app_role])","has_role(ARRAY['owner'::app_role, 'organizer'::app_role])"
public,eventi,eventi_backoffice_delete,PERMISSIVE,{authenticated},DELETE,app_backoffice_admin(),null
public,house_of_mentore,Authenticated users read House of Mentore,PERMISSIVE,{authenticated},SELECT,true,null
public,house_of_mentore,Owner and organizer manage House of Mentore,PERMISSIVE,{authenticated},ALL,"has_role(ARRAY['owner'::app_role, 'organizer'::app_role])","has_role(ARRAY['owner'::app_role, 'organizer'::app_role])"
public,house_of_mentore_opzioni,Authenticated users read House options,PERMISSIVE,{authenticated},SELECT,true,null
public,house_of_mentore_opzioni,Owner and organizer manage House options,PERMISSIVE,{authenticated},ALL,"has_role(ARRAY['owner'::app_role, 'organizer'::app_role])","has_role(ARRAY['owner'::app_role, 'organizer'::app_role])"
public,insegnamenti,Assigned mentors read teaching,PERMISSIVE,{authenticated},SELECT,is_mentore_di_insegnamento(id),null
public,insegnamenti,Owner and organizer manage teachings,PERMISSIVE,{authenticated},ALL,"has_role(ARRAY['owner'::app_role, 'organizer'::app_role])","has_role(ARRAY['owner'::app_role, 'organizer'::app_role])"
public,insegnamenti,Users create own teaching,PERMISSIVE,{authenticated},INSERT,null,(docente_id = auth.uid())
public,insegnamenti,Users read own teaching,PERMISSIVE,{authenticated},SELECT,"((docente_id = ( SELECT auth.uid() AS uid)) OR has_role(ARRAY['owner'::app_role, 'organizer'::app_role]))",null
public,insegnamenti,Users update own teaching,PERMISSIVE,{authenticated},UPDATE,(docente_id = auth.uid()),(docente_id = auth.uid())
public,insegnamenti,insegnamenti_backoffice_delete,PERMISSIVE,{authenticated},DELETE,app_backoffice_admin(),null
public,insegnamenti,insegnamenti_backoffice_insert,PERMISSIVE,{authenticated},INSERT,null,app_backoffice_admin()
public,insegnamenti,insegnamenti_backoffice_select,PERMISSIVE,{authenticated},SELECT,app_backoffice_admin(),null
public,insegnamenti,insegnamenti_backoffice_update,PERMISSIVE,{authenticated},UPDATE,app_backoffice_admin(),app_backoffice_admin()
public,mentoraggi,mentoraggi_backoffice_delete,PERMISSIVE,{authenticated},DELETE,app_backoffice_admin(),null
public,mentoraggi,mentoraggi_backoffice_insert,PERMISSIVE,{authenticated},INSERT,null,app_backoffice_admin()
public,mentoraggi,mentoraggi_backoffice_select,PERMISSIVE,{authenticated},SELECT,app_backoffice_admin(),null
public,mentoraggi,mentoraggi_backoffice_update,PERMISSIVE,{authenticated},UPDATE,app_backoffice_admin(),app_backoffice_admin()
public,mentoraggi,mentoraggi_delete_backoffice,PERMISSIVE,{authenticated},DELETE,mentoraggio_backoffice(),null
