schema_name,table_name,rls_enabled,rls_forced
public,abilitazioni_modifica,true,false
public,anagrafica,true,false
public,anagrafica_riservata,true,false
public,anni_accademici,true,false
public,eventi,true,false
public,house_of_mentore,true,false
public,house_of_mentore_opzioni,true,false
public,import_insegnamenti,true,false
public,import_partecipanti,true,false
public,insegnamenti,true,false
public,mentoraggi,true,false
public,mentoraggio_mentori,true,false
public,news,true,false
public,notifiche_destinatari,true,false
public,notifiche_dispositivi,true,false
public,notifiche_messaggi,true,false
public,notifiche_regole,true,false
public,partecipazioni_annuali,true,false
public,partecipazioni_eventi,true,false
public,partecipazioni_house_of_mentore,true,false
public,questionari,true,false
public,questionari_compilazioni,true,false
public,questionari_domande,true,false
public,questionari_risposte,true,false
public,questionari_template,true,false
public,risorse_mentoring,true,false
public,ssd,true,false
public,user_roles,true,false
