table_schema,table_name,ordinal_position,column_name,data_type,udt_schema,udt_name,is_nullable,column_default,is_identity,identity_generation
public,abilitazioni_modifica,1,user_id,uuid,pg_catalog,uuid,NO,null,NO,null
public,abilitazioni_modifica,2,ambito,USER-DEFINED,public,ambito_modifica,NO,null,NO,null
public,abilitazioni_modifica,3,anno_accademico,character varying,pg_catalog,varchar,NO,null,NO,null
public,abilitazioni_modifica,4,richiesta_at,timestamp with time zone,pg_catalog,timestamptz,NO,now(),NO,null
public,abilitazioni_modifica,5,abilitata,boolean,pg_catalog,bool,NO,false,NO,null
public,abilitazioni_modifica,6,abilitata_da,uuid,pg_catalog,uuid,YES,null,NO,null
public,abilitazioni_modifica,7,abilitata_at,timestamp with time zone,pg_catalog,timestamptz,YES,null,NO,null
public,abilitazioni_modifica,8,scade_at,timestamp with time zone,pg_catalog,timestamptz,YES,null,NO,null
public,abilitazioni_modifica,9,revocata_at,timestamp with time zone,pg_catalog,timestamptz,YES,null,NO,null
public,anagrafica,1,user_id,uuid,pg_catalog,uuid,NO,null,NO,null
public,anagrafica,2,email_unipa,character varying,pg_catalog,varchar,NO,null,NO,null
public,anagrafica,3,cognome,character varying,pg_catalog,varchar,NO,null,NO,null
public,anagrafica,4,nome,character varying,pg_catalog,varchar,NO,null,NO,null
public,anagrafica,5,cod_ssd,character varying,pg_catalog,varchar,YES,null,NO,null
public,anagrafica,6,dipartimento,character varying,pg_catalog,varchar,YES,null,NO,null
public,anagrafica,7,ufficio,character varying,pg_catalog,varchar,YES,null,NO,null
public,anagrafica,8,ruolo_accademico,USER-DEFINED,public,ruolo_accademico,YES,null,NO,null
public,anagrafica,9,cellulare,character varying,pg_catalog,varchar,YES,null,NO,null
public,anagrafica,11,pagina_personale_unipa,character varying,pg_catalog,varchar,YES,null,NO,null
public,anagrafica,15,created_at,timestamp with time zone,pg_catalog,timestamptz,NO,now(),NO,null
public,anagrafica,18,fascia_eta,USER-DEFINED,public,fascia_eta,YES,null,NO,null
public,anagrafica,19,anno_prima_partecipazione,character varying,pg_catalog,varchar,YES,null,NO,null
public,anagrafica_riservata,1,user_id,uuid,pg_catalog,uuid,NO,null,NO,null
public,anagrafica_riservata,2,note_storiche,text,pg_catalog,text,YES,null,NO,null
public,anagrafica_riservata,3,attivo,boolean,pg_catalog,bool,NO,true,NO,null
public,anni_accademici,1,codice,character varying,pg_catalog,varchar,NO,null,NO,null
public,anni_accademici,2,data_inizio,date,pg_catalog,date,YES,null,NO,null
public,anni_accademici,3,data_fine,date,pg_catalog,date,YES,null,NO,null
public,anni_accademici,4,corrente,boolean,pg_catalog,bool,NO,false,NO,null
public,anni_accademici,5,stato,text,pg_catalog,text,NO,'chiuso'::text,NO,null
public,eventi,1,id,uuid,pg_catalog,uuid,NO,gen_random_uuid(),NO,null
public,eventi,2,titolo,character varying,pg_catalog,varchar,NO,null,NO,null
