schema_name,table_name,trigger_name,definition
public,anagrafica,crea_anagrafica_riservata_trigger,CREATE TRIGGER crea_anagrafica_riservata_trigger AFTER INSERT ON anagrafica FOR EACH ROW EXECUTE FUNCTION crea_anagrafica_riservata()
public,eventi,notifiche_regole_aiu,CREATE TRIGGER notifiche_regole_aiu AFTER INSERT OR UPDATE ON eventi FOR EACH ROW EXECUTE FUNCTION notifiche_trigger_sorgente()
public,house_of_mentore,aggiorna_updated_at_house_of_mentore_trigger,CREATE TRIGGER aggiorna_updated_at_house_of_mentore_trigger BEFORE UPDATE ON house_of_mentore FOR EACH ROW EXECUTE FUNCTION aggiorna_updated_at_house_of_mentore()
public,house_of_mentore,notifiche_regole_aiu,CREATE TRIGGER notifiche_regole_aiu AFTER INSERT OR UPDATE ON house_of_mentore FOR EACH ROW EXECUTE FUNCTION notifiche_trigger_sorgente()
public,insegnamenti,proteggi_identificativi_insegnamento_trigger,CREATE TRIGGER proteggi_identificativi_insegnamento_trigger BEFORE UPDATE ON insegnamenti FOR EACH ROW EXECUTE FUNCTION proteggi_identificativi_insegnamento()
public,news,notifiche_regole_aiu,CREATE TRIGGER notifiche_regole_aiu AFTER INSERT OR UPDATE ON news FOR EACH ROW EXECUTE FUNCTION notifiche_trigger_sorgente()
public,notifiche_destinatari,notifiche_destinatari_updated_at,CREATE TRIGGER notifiche_destinatari_updated_at BEFORE UPDATE ON notifiche_destinatari FOR EACH ROW EXECUTE FUNCTION notifiche_set_updated_at()
public,notifiche_dispositivi,notifiche_dispositivi_updated_at,CREATE TRIGGER notifiche_dispositivi_updated_at BEFORE UPDATE ON notifiche_dispositivi FOR EACH ROW EXECUTE FUNCTION notifiche_set_updated_at()
public,notifiche_messaggi,notifiche_messaggi_updated_at,CREATE TRIGGER notifiche_messaggi_updated_at BEFORE UPDATE ON notifiche_messaggi FOR EACH ROW EXECUTE FUNCTION notifiche_set_updated_at()
public,notifiche_regole,notifiche_regole_config_changed,CREATE TRIGGER notifiche_regole_config_changed AFTER INSERT OR DELETE OR UPDATE ON notifiche_regole FOR EACH STATEMENT EXECUTE FUNCTION notifiche_trigger_regole_config()
public,notifiche_regole,notifiche_regole_updated_at,CREATE TRIGGER notifiche_regole_updated_at BEFORE UPDATE ON notifiche_regole FOR EACH ROW EXECUTE FUNCTION notifiche_set_updated_at()
public,partecipazioni_eventi,notifiche_regole_aiu,CREATE TRIGGER notifiche_regole_aiu AFTER INSERT OR UPDATE ON partecipazioni_eventi FOR EACH ROW EXECUTE FUNCTION notifiche_trigger_sorgente()
public,partecipazioni_eventi,proteggi_presenza_evento_trg,CREATE TRIGGER proteggi_presenza_evento_trg BEFORE INSERT OR UPDATE ON partecipazioni_eventi FOR EACH ROW EXECUTE FUNCTION proteggi_presenza_evento()
